АЗС_CODE,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,01.06.22,2,516.5
Z313,01.06.22,3,383.13
Z313,01.06.22,4,177.74
Z313,01.06.22,5,142.84
Z313,01.06.22,6,208.39
Z313,01.06.22,7,282.75
Z313,01.06.22,8,279.92
Z313,01.06.23,1,2110.66
Z313,01.06.23,2,947.45
Z313,01.06.23,3,481.27
Z313,01.06.23,4,340.44
Z313,01.06.23,5,253.88
Z313,01.06.23,6,224.47
Z313,01.06.23,7,674.52
Z313,01.06.23,8,1191.77
Z313,01.06.23,9,2154
Z313,01.06.23,10,2751.79
Z313,01.06.23,11,3233.85
Z313,01.06.23,12,3314.55
Z313,01.06.23,13,3033.53
Z313,01.06.23,14,3253.52
Z313,01.06.23,15,3485.77
Z313,01.06.23,16,3444.3
Z313,01.06.23,17,4065.95
Z313,01.06.23,18,3740.73
Z313,01.06.23,19,3439.19
Z313,01.06.23,20,2993.08
Z313,01.06.23,21,2875.84
Z313,01.06.23,22,3091.7
Z313,01.06.23,23,3244.15
Z313,01.06.23,24,2468.5
Z313,01.06.24,1,2602.09
Z313,01.06.24,2,1547.61
Z313,01.06.24,3,1006.19
Z313,01.06.24,4,350.3
Z313,01.06.24,5,305.12
Z313,01.06.24,6,344.92
Z313,01.06.24,7,527.27
Z313,01.06.24,8,1376.36
Z313,01.06.24,9,2364.11
Z313,01.06.24,10,3104.43
Z313,01.06.24,11,3546.24
Z313,01.06.24,12,3480.46
Z313,01.06.24,13,3611.81
Z313,01.06.24,14,3786.06
Z313,01.06.24,15,3593.33
Z313,01.06.24,16,3956.1
Z313,01.06.24,17,3833.68
Z313,01.06.24,18,3777.75
Z313,01.06.24,19,3690.31
Z313,01.06.24,20,3301.28
Z313,01.06.24,21,2859.74
Z313,01.06.24,22,2954.01
Z313,01.06.24,23,2368.96
Z313,01.06.24,24,2348.75
Z313,01.07.23,1,1867.24
Z313,01.07.23,2,830.54
Z313,01.07.23,3,707.24
Z313,01.07.23,4,275.7
Z313,01.07.23,5,180.24
Z313,01.07.23,6,251.67
Z313,01.07.23,7,677.96
Z313,01.07.23,8,1138.35
Z313,01.07.23,9,1963.44
Z313,01.07.23,10,2730.19
Z313,01.07.23,11,2414.55
Z313,01.07.23,12,2431.32
Z313,01.07.23,13,2469.72
Z313,01.07.23,14,3122.97
Z313,01.07.23,15,3673.59
Z313,01.07.23,16,2907.11
Z313,01.07.23,17,2613.7
Z313,01.07.23,18,2715.38
Z313,01.07.23,19,3385.1
Z313,01.07.23,20,2942.34
Z313,01.07.23,21,2662.46
Z313,01.07.23,22,3141.77
Z313,01.07.23,23,2322.43
Z313,01.07.23,24,1682.48
Z313,01.07.24,1,2017.19
Z313,01.07.24,2,1263.78
Z313,01.07.24,3,786.11
Z313,01.07.24,4,367.63
Z313,01.07.24,5,330.79
Z313,01.07.24,6,455.04
Z313,01.07.24,7,948.84
Z313,01.07.24,8,1476.06
Z313,01.07.24,9,2254.43
Z313,01.07.24,10,3212.17
Z313,01.07.24,11,3204.09
Z313,01.07.24,12,2668.31
Z313,01.07.24,13,3046.25
Z313,01.07.24,14,3804.87
Z313,01.07.24,15,2752.24
Z313,01.07.24,16,3562.19
Z313,01.07.24,17,3558.83
Z313,01.07.24,18,2988.38
Z313,01.07.24,19,3517.49
Z313,01.07.24,20,4039.47
Z313,01.07.24,21,3121.06
Z313,01.07.24,22,3241.51
Z313,01.07.24,23,3451.5
Z313,01.07.24,24,1722.91
Z313,01.08.23,1,2093.63
Z313,01.08.23,2,1202.46
Z313,01.08.23,3,685.02
Z313,01.08.23,4,433.45
Z313,01.08.23,5,263.78
Z313,01.08.23,6,319.41
Z313,01.08.23,7,408.62
Z313,01.08.23,8,1460.62
Z313,01.08.23,9,1904.19
Z313,01.08.23,10,2626.6
Z313,01.08.23,11,3009.21
Z313,01.08.23,12,2800.93
Z313,01.08.23,13,3298.54
Z313,01.08.23,14,3545.17
Z313,01.08.23,15,3019.45
Z313,01.08.23,16,3179.22
Z313,01.08.23,17,3540.3
Z313,01.08.23,18,3493.59
Z313,01.08.23,19,3747.45
Z313,01.08.23,20,3607.81
Z313,01.08.23,21,3208.27
Z313,01.08.23,22,3117.8
